title,link,info
SOM-VAE: Interpretable Discrete Representation Learning on Time Series,['https://www.semanticscholar.org/paper/SOM-VAE%3A-Interpretable-Discrete-Representation-on-Fortuin-H%C3%BCser/551923a9aa6db7746f465f957693759379828458'],"[{'Citations': 48, 'Highly Influential Citations': '3', 'Background Citations': '13', 'Methods Citations': '8'}]"
The Limitations of Adversarial Training and the Blind-Spot Attack,['https://www.semanticscholar.org/paper/The-Limitations-of-Adversarial-Training-and-the-Zhang-Chen/f7124df6df2eafa1527c76cd136ab35c176844d4'],"[{'Citations': 64, 'Highly Influential Citations': '6', 'Background Citations': '40', 'Methods Citations': '12'}]"
Generating Multiple Objects at Spatially Distinct Locations,['https://www.semanticscholar.org/paper/Generating-Multiple-Objects-at-Spatially-Distinct-Hinz-Heinrich/df92b5644658c95c90eb872911d2812d55cc7b46'],"[{'Citations': 53, 'Highly Influential Citations': '2', 'Background Citations': '38', 'Methods Citations': '13', 'Results Citations': '2'}]"
Optimal Completion Distillation for Sequence Learning,['https://www.semanticscholar.org/paper/Optimal-Completion-Distillation-for-Sequence-Sabour-Chan/54f6fb623dfff49bd8081efe46da5ab170f1f5c6'],"[{'Citations': 33, 'Highly Influential Citations': '1', 'Background Citations': '12', 'Methods Citations': '12', 'Results Citations': '1'}]"
Graph HyperNetworks for Neural Architecture Search,['https://www.semanticscholar.org/paper/Graph-HyperNetworks-for-Neural-Architecture-Search-Zhang-Ren/89c10e08902cb90abbe1276a3042b93c2f9c78b4'],"[{'Citations': 115, 'Highly Influential Citations': '15', 'Background Citations': '54', 'Methods Citations': '37', 'Results Citations': '7'}]"
GO Gradient for Expectation-Based Objectives,['https://www.semanticscholar.org/paper/GO-Gradient-for-Expectation-Based-Objectives-Cong-Zhao/15d0330ef349310db06e7f9babd8f09970905b51'],"[{'Citations': 12, 'Highly Influential Citations': '2', 'Background Citations': '7', 'Methods Citations': '8', 'Results Citations': '1'}]"
InstaGAN: Instance-aware Image-to-Image Translation,['https://www.semanticscholar.org/paper/InstaGAN%3A-Instance-aware-Image-to-Image-Translation-Mo-Cho/45505cab8f90fb82e7da04d92d5dc63437bfcab7'],"[{'Citations': 87, 'Highly Influential Citations': '6', 'Background Citations': '45', 'Methods Citations': '27', 'Results Citations': '1'}]"
DialogWAE: Multimodal Response Generation with Conditional Wasserstein Auto-Encoder,['https://www.semanticscholar.org/paper/DialogWAE%3A-Multimodal-Response-Generation-with-Gu-Cho/77b9505e6967cfb45eaf6ec8ac7746cbaaab6e0d'],"[{'Citations': 75, 'Highly Influential Citations': '21', 'Background Citations': '44', 'Methods Citations': '35', 'Results Citations': '3'}]"
Supervised Policy Update for Deep Reinforcement Learning,['https://www.semanticscholar.org/paper/Supervised-Policy-Update-for-Deep-Reinforcement-Vuong-Zhang/c4ecab02877c91f06340877640d9274e1f85a7a1'],"[{'Citations': 14, 'Highly Influential Citations': '3', 'Background Citations': '9', 'Methods Citations': '5'}]"
Unsupervised Learning of the Set of Local Maxima,['https://www.semanticscholar.org/paper/Unsupervised-Learning-of-the-Set-of-Local-Maxima-Wolf-Benaim/46d5cf70365d48ad38ed549fb44cf76810e8f8da'],"[{'Citations': 5, 'Highly Influential Citations': '2', 'Background Citations': '2', 'Methods Citations': '3'}]"
Per-Tensor Fixed-Point Quantization of the Back-Propagation Algorithm,['https://www.semanticscholar.org/paper/Per-Tensor-Fixed-Point-Quantization-of-the-Sakr-Shanbhag/24c338254c60e9a53443af4d4d99b8333a2a0e81'],"[{'Citations': 24, 'Highly Influential Citations': '1', 'Background Citations': '13', 'Methods Citations': '3'}]"
Generalized Tensor Models for Recurrent Neural Networks,['https://www.semanticscholar.org/paper/Generalized-Tensor-Models-for-Recurrent-Neural-Khrulkov-Hrinchuk/bfd01ae65d568801b908c6d5bb0e0704c9c5feab'],"[{'Citations': 16, 'Highly Influential Citations': '2', 'Background Citations': '10', 'Methods Citations': '5', 'Results Citations': '1'}]"
Towards Metamerism via Foveated Style Transfer,['https://www.semanticscholar.org/paper/Towards-Metamerism-via-Foveated-Style-Transfer-Deza-Jonnalagadda/7f3df93baabaf66bebbf7a24257f4ada252bc959'],"[{'Citations': 11, 'Background Citations': '7', 'Methods Citations': '2', 'Results Citations': '2'}]"
Learning To Solve Circuit-SAT: An Unsupervised Differentiable Approach,['https://www.semanticscholar.org/paper/Learning-To-Solve-Circuit-SAT%3A-An-Unsupervised-Amizadeh-Matusevych/2b64300879d6fcaabe932e87ecb412066359b286'],"[{'Citations': 33, 'Highly Influential Citations': '6', 'Background Citations': '14', 'Methods Citations': '13', 'Results Citations': '3'}]"
"Variational Discriminator Bottleneck: Improving Imitation Learning, Inverse RL, and GANs by Constraining Information Flow",['https://www.semanticscholar.org/paper/Variational-Discriminator-Bottleneck%3A-Improving-RL%2C-Peng-Kanazawa/9385a155c5245420a7c70c867d9fea6088a9b2d5'],"[{'Citations': 109, 'Highly Influential Citations': '18', 'Background Citations': '62', 'Methods Citations': '37', 'Results Citations': '1'}]"
Hierarchical Generative Modeling for Controllable Speech Synthesis,['https://www.semanticscholar.org/paper/Hierarchical-Generative-Modeling-for-Controllable-Hsu-Zhang/f86a9df3b2d5dd7621222923b27999951a9b8bce'],"[{'Citations': 133, 'Highly Influential Citations': '18', 'Background Citations': '70', 'Methods Citations': '51', 'Results Citations': '2'}]"
Doubly Reparameterized Gradient Estimators for Monte Carlo Objectives,['https://www.semanticscholar.org/paper/Doubly-Reparameterized-Gradient-Estimators-for-Tucker-Lawson/d8778f909eb027bcb7c5122bca23acb680ded647'],"[{'Citations': 65, 'Highly Influential Citations': '16', 'Background Citations': '34', 'Methods Citations': '31', 'Results Citations': '5'}]"
Reward Constrained Policy Optimization,['https://www.semanticscholar.org/paper/Reward-Constrained-Policy-Optimization-Tessler-Mankowitz/cb7c479a36520da1caeeec67db10772351a390c6'],"[{'Citations': 115, 'Highly Influential Citations': '24', 'Background Citations': '67', 'Methods Citations': '47', 'Results Citations': '3'}]"
Coarse-grain Fine-grain Coattention Network for Multi-evidence Question Answering,['https://www.semanticscholar.org/paper/Coarse-grain-Fine-grain-Coattention-Network-for-Zhong-Xiong/e17c13217e1fad11bae46820c4acae1745f69b43'],"[{'Citations': 40, 'Highly Influential Citations': '7', 'Background Citations': '20', 'Methods Citations': '9'}]"
Preconditioner on Matrix Lie Group for SGD,['https://www.semanticscholar.org/paper/Preconditioner-on-Matrix-Lie-Group-for-SGD-Li/448491374325bd2c3f8cbc381b67b7742329144b'],"[{'Citations': 2, 'Background Citations': '1', 'Methods Citations': '1'}]"
LeMoNADe: Learned Motif and Neuronal Assembly Detection in calcium imaging videos,['https://www.semanticscholar.org/paper/LeMoNADe%3A-Learned-Motif-and-Neuronal-Assembly-in-Kirschbaum-Hau%C3%9Fmann/bc652086b359a16dd8493270db22cc34f51e2ba8'],"[{'Citations': 7, 'Background Citations': '2', 'Methods Citations': '1'}]"
DHER: Hindsight Experience Replay for Dynamic Goals,['https://www.semanticscholar.org/paper/DHER%3A-Hindsight-Experience-Replay-for-Dynamic-Goals-Fang-Zhou/154a19b77f2302d6b9bab354d3160ef527d29f55'],"[{'Citations': 25, 'Highly Influential Citations': '1', 'Background Citations': '14', 'Methods Citations': '5', 'Results Citations': '1'}]"
SPIGAN: Privileged Adversarial Learning from Simulation,['https://www.semanticscholar.org/paper/SPIGAN%3A-Privileged-Adversarial-Learning-from-Lee-Ros/5e2798ab1e55122a28e12a7e7df3bbe70e0b09c9'],"[{'Citations': 47, 'Highly Influential Citations': '6', 'Background Citations': '28', 'Methods Citations': '16', 'Results Citations': '1'}]"
Augmented Cyclic Adversarial Learning for Low Resource Domain Adaptation,['https://www.semanticscholar.org/paper/Augmented-Cyclic-Adversarial-Learning-for-Low-Hosseini-Asl-Zhou/653435e90a6dc9c331e03f70ed32906eb3f6810d'],"[{'Citations': 33, 'Highly Influential Citations': '3', 'Background Citations': '13', 'Methods Citations': '7', 'Results Citations': '1'}]"
GamePad: A Learning Environment for Theorem Proving,['https://www.semanticscholar.org/paper/GamePad%3A-A-Learning-Environment-for-Theorem-Proving-Huang-Dhariwal/6f79e82b19470a78eb1f597e1662674b9320a6d9'],"[{'Citations': 60, 'Highly Influential Citations': '6', 'Background Citations': '14', 'Methods Citations': '27', 'Results Citations': '3'}]"
Deep Graph Infomax,['https://www.semanticscholar.org/paper/Deep-Graph-Infomax-Velickovic-Fedus/967a21a111757d6af7f7a25ca7ea2bdf6d505098'],"[{'Citations': 453, 'Highly Influential Citations': '136', 'Background Citations': '230', 'Methods Citations': '216', 'Results Citations': '12'}]"
A Kernel Random Matrix-Based Approach for Sparse PCA,['https://www.semanticscholar.org/paper/A-Kernel-Random-Matrix-Based-Approach-for-Sparse-Seddik-Tamaazousti/c2b13b979556d6fa1e7c0adc7cf37911e38cebe8'],"[{'Citations': 9, 'Background Citations': '1', 'Methods Citations': '4'}]"
Sample Efficient Adaptive Text-to-Speech,['https://www.semanticscholar.org/paper/Sample-Efficient-Adaptive-Text-to-Speech-Chen-Assael/031c6baabd61f5b654ef4892f8f6ed737ec52511'],"[{'Citations': 65, 'Highly Influential Citations': '7', 'Background Citations': '32', 'Methods Citations': '27', 'Results Citations': '3'}]"
ProMP: Proximal Meta-Policy Search,['https://www.semanticscholar.org/paper/ProMP%3A-Proximal-Meta-Policy-Search-Rothfuss-Lee/c456941a270cb2040eed4abfb39150508caf920c'],"[{'Citations': 92, 'Highly Influential Citations': '23', 'Background Citations': '52', 'Methods Citations': '43', 'Results Citations': '4'}]"
A Convergence Analysis of Gradient Descent for Deep Linear Neural Networks,['https://www.semanticscholar.org/paper/A-Convergence-Analysis-of-Gradient-Descent-for-Deep-Arora-Cohen/134c165953e23a6dc7d4f0d86989e92362ca4335'],"[{'Citations': 142, 'Highly Influential Citations': '26', 'Background Citations': '93', 'Methods Citations': '23', 'Results Citations': '5'}]"
Slimmable Neural Networks,['https://www.semanticscholar.org/paper/Slimmable-Neural-Networks-Yu-Yang/120ffccea4787b88f78b55b9302891ff96cb4228'],"[{'Citations': 171, 'Highly Influential Citations': '36', 'Background Citations': '87', 'Methods Citations': '57', 'Results Citations': '11'}]"
Discrete flow posteriors for variational inference in discrete dynamical systems,['https://www.semanticscholar.org/paper/Discrete-flow-posteriors-for-variational-inference-Aitchison-Adam/45b525c89db772a0ec3350be84c6dda395aa509f'],"[{'Citations': 4, 'Background Citations': '2'}]"
Variational Sparse Coding,['https://www.semanticscholar.org/paper/Variational-Sparse-Coding-Tonolini-Jensen/60a74f2c77a66e2cfe4b02291f18a4edc077d2a9'],"[{'Citations': 11, 'Highly Influential Citations': '4', 'Background Citations': '5', 'Methods Citations': '6', 'Results Citations': '1'}]"
Detecting Memorization in ReLU Networks,['https://www.semanticscholar.org/paper/Detecting-Memorization-in-ReLU-Networks-Collins-Bigdeli/840310e4c713f347742cb00680b568fa9f3af181'],"[{'Citations': 3, 'Background Citations': '3'}]"
Reinforcement Learning with Perturbed Rewards,['https://www.semanticscholar.org/paper/Reinforcement-Learning-with-Perturbed-Rewards-Wang-Liu/baff7613deb1c84d2570bee2212ebb2391261727'],"[{'Citations': 30, 'Highly Influential Citations': '3', 'Background Citations': '17', 'Methods Citations': '6'}]"
Local Critic Training of Deep Neural Networks,['https://www.semanticscholar.org/paper/Local-Critic-Training-of-Deep-Neural-Networks-Lee-Lee/813761e8f2226d4168026521b6ad800301cf3002'],"[{'Citations': 4, 'Methods Citations': '1', 'Results Citations': '1'}]"
Learning from Noisy Demonstration Sets via Meta-Learned Suitability Assessor,['https://www.semanticscholar.org/paper/Learning-from-Noisy-Demonstration-Sets-via-Assessor-Wu-Hwang/a990eee6c47ded320f8f85f54febba8ea11ee908'],[{'Citations': 0}]
Detecting Topological Defects in 2D Active Nematics Using Convolutional Neural Networks,['https://www.semanticscholar.org/paper/Tracking-Topological-Defects-in-2D-Active-Nematics-Liu-Hong/a207d775ef89319af9168df5f56ce8cfa9f7308a'],[{'Citations': 0}]
SSoC: Learning Spontaneous and Self-Organizing Communication for Multi-Agent Collaboration,['https://www.semanticscholar.org/paper/SSoC%3A-Learning-Spontaneous-and-Self-Organizing-for-Kong-Li/5c2fefd9f3210d9fb86a2745f139ebf931dae583'],[{'Citations': 0}]
Generating Realistic Stock Market Order Streams,['https://www.semanticscholar.org/paper/Generating-Realistic-Stock-Market-Order-Streams-Li-Wang/81b61f10d840e6797acb18f02a2c9afb7fa95306'],"[{'Citations': 14, 'Background Citations': '9', 'Methods Citations': '6'}]"
Causal Reasoning from Meta-reinforcement learning,['https://www.semanticscholar.org/paper/Causal-Reasoning-from-Meta-reinforcement-Learning-Dasgupta-Wang/8f06c78435b9712aa77094796075b8e6b3f50c05'],"[{'Citations': 46, 'Highly Influential Citations': '2', 'Background Citations': '17', 'Methods Citations': '6'}]"
CoDraw: Collaborative Drawing as a Testbed for Grounded Goal-driven Communication,['https://www.semanticscholar.org/paper/CoDraw%3A-Collaborative-Drawing-as-a-Testbed-for-Kim-Kitaev/58641a3a4b4653b5d63e57dc6dfe3935b866d78f'],"[{'Citations': 28, 'Highly Influential Citations': '3', 'Background Citations': '21', 'Methods Citations': '4'}]"
I Know the Feeling: Learning to Converse with Empathy,['https://www.semanticscholar.org/paper/I-Know-the-Feeling%3A-Learning-to-Converse-with-Rashkin-Smith/f7e9d6d6ae95d78506f3eb0963ec97c5cc873055'],"[{'Citations': 24, 'Highly Influential Citations': '4', 'Background Citations': '17', 'Methods Citations': '7', 'Results Citations': '2'}]"
Temporal Gaussian Mixture Layer for Videos,['https://www.semanticscholar.org/paper/Temporal-Gaussian-Mixture-Layer-for-Videos-Piergiovanni-Ryoo/43b66008ab33dcc4456e157e757cc4f0570f77fb'],"[{'Citations': 31, 'Highly Influential Citations': '7', 'Background Citations': '14', 'Methods Citations': '10', 'Results Citations': '2'}]"
Invariant-equivariant representation learning for multi-class data,['https://www.semanticscholar.org/paper/Invariant-equivariant-representation-learning-for-Feige/de3c933419f4906cdd7cfe014d5d9e211e81ecf2'],"[{'Citations': 2, 'Highly Influential Citations': '1', 'Methods Citations': '1'}]"
Graph Matching Networks for Learning the Similarity of Graph Structured Objects,['https://www.semanticscholar.org/paper/Graph-Matching-Networks-for-Learning-the-Similarity-Li-Gu/3b99ae042727b7bf679a8e4120b28999d6530ff6'],"[{'Citations': 146, 'Highly Influential Citations': '36', 'Background Citations': '74', 'Methods Citations': '57', 'Results Citations': '1'}]"
SENSE: SEMANTICALLY ENHANCED NODE SEQUENCE EMBEDDING,['https://www.semanticscholar.org/paper/SENSE%3A-Semantically-Enhanced-Node-Sequence-Rallapalli-Ma/883ff3e61fe9f4a06758e95a582c321800836c78'],[{'Citations': 2}]
Implicit Autoencoders,['https://www.semanticscholar.org/paper/Implicit-Autoencoders-Makhzani/75c660b25898dfd69983e96864d4146bbc1ff4db'],"[{'Citations': 12, 'Background Citations': '6', 'Methods Citations': '1'}]"
Identifying Bias in AI using Simulation,['https://www.semanticscholar.org/paper/Identifying-Bias-in-AI-using-Simulation-McDuff-Cheng/45a8e4fdb9b50ddcb56fd83e559607403b778abd'],"[{'Citations': 10, 'Highly Influential Citations': '1', 'Background Citations': '8', 'Methods Citations': '2'}]"
Backplay: 'Man muss immer umkehren',['https://www.semanticscholar.org/paper/Backplay%3A-%22Man-muss-immer-umkehren%22-Resnick-Raileanu/9b4d48eca82e8a3907b0e941a7ebd6976c95d6ae'],"[{'Citations': 33, 'Highly Influential Citations': '6', 'Background Citations': '16', 'Methods Citations': '11', 'Results Citations': '3'}]"
Intrinsic Social Motivation via Causal Influence in Multi-Agent RL,['https://www.semanticscholar.org/paper/Intrinsic-Social-Motivation-via-Causal-Influence-in-Jaques-Lazaridou/32a8e62c19b63c527b64c37ecfae208bf84059c5'],"[{'Citations': 43, 'Highly Influential Citations': '4', 'Background Citations': '29', 'Methods Citations': '5', 'Results Citations': '3'}]"
Dynamic Planning Networks,['https://www.semanticscholar.org/paper/Dynamic-Planning-Networks-Tasfi-Capretz/9ad4e1ed379c7bbb260c9631686b874ec586d888'],"[{'Citations': 2, 'Background Citations': '1', 'Methods Citations': '1'}]"
Learning to Coordinate Multiple Reinforcement Learning Agents for Diverse Query Reformulation,['https://www.semanticscholar.org/paper/Learning-to-Coordinate-Multiple-Reinforcement-for-Nogueira-Bulian/ba05d834b9efd63c23a77ae78eb256477c5ec60a'],"[{'Citations': 11, 'Background Citations': '4', 'Methods Citations': '7', 'Results Citations': '1'}]"
Recovering the Lowest Layer of Deep Networks with High Threshold Activations,['https://www.semanticscholar.org/paper/Recovering-the-Lowest-Layer-of-Deep-Networks-with-Goel-Panigrahy/f4a7224794b4266fa0bb0532790cc5167e200e02'],[{'Citations': 0}]
Using Ontologies To Improve Performance In Massively Multi-label Prediction,['https://www.semanticscholar.org/paper/Using-Ontologies-To-Improve-Performance-In-Models-Steinberg-Liu/614ae350fd8ca55e0114162d6303ebf2c0f37bfb'],"[{'Citations': 1, 'Methods Citations': '1'}]"
TarMAC: Targeted Multi-Agent Communication,['https://www.semanticscholar.org/paper/TarMAC%3A-Targeted-Multi-Agent-Communication-Das-Gervet/ea18b3279afe3ffd54da5147dd5c1872315725bf'],"[{'Citations': 89, 'Highly Influential Citations': '15', 'Background Citations': '55', 'Methods Citations': '29', 'Results Citations': '2'}]"
MILE: A Multi-Level Framework for Scalable Graph Embedding,['https://www.semanticscholar.org/paper/MILE%3A-A-Multi-Level-Framework-for-Scalable-Graph-Liang-Gurukar/984caf9e6f3e912b33356be2e1fba9ab2676fd79'],"[{'Citations': 35, 'Highly Influential Citations': '10', 'Background Citations': '14', 'Methods Citations': '25'}]"
Adversarial Attacks on Node Embeddings,['https://www.semanticscholar.org/paper/Adversarial-Attacks-on-Node-Embeddings-Bojchevski-G%C3%BCnnemann/2fae42932811ff9307b6b4a5059c2300f3587b53'],"[{'Citations': 23, 'Highly Influential Citations': '6', 'Background Citations': '18', 'Methods Citations': '5', 'Results Citations': '1'}]"
DADAM: A consensus-based distributed adaptive gradient method for online optimization,['https://www.semanticscholar.org/paper/DADAM%3A-A-Consensus-based-Distributed-Adaptive-for-Nazari-Tarzanagh/dbaebce3142e9473d6effe2e75517a6dd390bd6e'],"[{'Citations': 23, 'Highly Influential Citations': '2', 'Background Citations': '10', 'Methods Citations': '8'}]"
Projective Subspace Networks For Few-Shot Learning,['https://www.semanticscholar.org/paper/Projective-Subspace-Networks-For-Few-Shot-Learning-Simon-Koniusz/3a379dd63e704ff790739ee8a89c815a40abb3d3'],"[{'Citations': 11, 'Highly Influential Citations': '2', 'Background Citations': '6', 'Methods Citations': '2'}]"
Alignment Based Mathching Networks for One-Shot Classification and Open-Set Recognition,['https://www.semanticscholar.org/paper/Alignment-Based-Matching-Networks-for-One-Shot-and-Malalur-Jaakkola/de05437aa396e322192ed61a2eb0c5cae6ff2501'],[{'Citations': 0}]
Cramer-Wold AutoEncoder,['https://www.semanticscholar.org/paper/Cramer-Wold-AutoEncoder-Tabor-Knop/be1d95f5093846843ac3f7995dae1c506013ec3e'],"[{'Citations': 19, 'Highly Influential Citations': '6', 'Background Citations': '9', 'Methods Citations': '9'}]"
Directional Analysis of Stochastic Gradient Descent via von Mises-Fisher Distributions in Deep Learning,['https://www.semanticscholar.org/paper/Directional-Analysis-of-Stochastic-Gradient-Descent-Lee-Cho/cf88e9079e57de522b8c6a5b001bca87ea6e5613'],"[{'Citations': 3, 'Background Citations': '3'}]"
Unsupervised Control Through Non-Parametric Discriminative Rewards,['https://www.semanticscholar.org/paper/Unsupervised-Control-Through-Non-Parametric-Rewards-Warde-Farley-Wiele/15819e90da9565c1eefc7c5e5d5a1f94767cdd04'],"[{'Citations': 82, 'Highly Influential Citations': '10', 'Background Citations': '52', 'Methods Citations': '20', 'Results Citations': '5'}]"
Clean-Label Backdoor Attacks,['https://www.semanticscholar.org/paper/Clean-Label-Backdoor-Attacks-on-Video-Recognition-Zhao-Ma/803f9bf6ab893073c514492a220747aa3d5fbf64'],"[{'Citations': 30, 'Highly Influential Citations': '4', 'Background Citations': '25', 'Methods Citations': '7'}]"
Universal Successor Features for Transfer Reinforcement Learning,['https://www.semanticscholar.org/paper/Universal-Successor-Features-for-Transfer-Learning-Ma-Ashley/0bf3a48cd1d9fd80b7ab6ac12620ae36b0bced67'],"[{'Citations': 5, 'Highly Influential Citations': '1', 'Background Citations': '1', 'Methods Citations': '3'}]"
Improved Language Modeling by Decoding the Past,['https://www.semanticscholar.org/paper/Improved-Language-Modeling-by-Decoding-the-Past-Brahma/f0ccb215faaeb1e9e86af5827b76c27a8d04e5a7'],"[{'Citations': 3, 'Background Citations': '2'}]"
Decoupling Gating from Linearity,['https://www.semanticscholar.org/paper/Decoupling-Gating-from-Linearity-Fiat-Malach/5978674ac2d4fa815e27294d99a3a4de8c6f332b'],"[{'Citations': 13, 'Background Citations': '3', 'Methods Citations': '3', 'Results Citations': '2'}]"
Efficient Dictionary Learning with Gradient Descent,['https://www.semanticscholar.org/paper/Efficient-Dictionary-Learning-with-Gradient-Descent-Gilboa-Buchanan/bbf8d32cfd460ddb89cba5d86d8dfb15e9979e17'],"[{'Citations': 25, 'Highly Influential Citations': '2', 'Background Citations': '12', 'Methods Citations': '7', 'Results Citations': '1'}]"
Learning Backpropagation-Free Deep Architectures with Kernels,['https://www.semanticscholar.org/paper/Learning-Backpropagation-Free-Deep-Architectures-Duan-Yu/5edeeedf92e79f424c7e4754b5cb6b04cda71599'],[{'Citations': 0}]
Entropic GANs meet VAEs: A Statistical Approach to Compute Sample Likelihoods in GANs,['https://www.semanticscholar.org/paper/Entropic-GANs-meet-VAEs%3A-A-Statistical-Approach-to-Balaji-Hassani/e8d2ad861e4d107ae2c0d1b7bb053d06022dfe1c'],"[{'Citations': 14, 'Highly Influential Citations': '1', 'Background Citations': '7', 'Methods Citations': '4'}]"
Transformer-XL: Language Modeling with Longer-Term Dependency,['https://www.semanticscholar.org/paper/Transformer-XL%3A-Language-Modeling-with-Longer-Term-Dai-Yang/a7822238f5db7d62731eaeabf9725a65f4edf893'],"[{'Citations': 39, 'Highly Influential Citations': '9', 'Background Citations': '23', 'Methods Citations': '16'}]"
Formal Limitations on the Measurement of Mutual Information,['https://www.semanticscholar.org/paper/Formal-Limitations-on-the-Measurement-of-Mutual-McAllester-Stratos/2b2cf76246466c266f9c9fe9bbfd43d918514e55'],"[{'Citations': 92, 'Highly Influential Citations': '11', 'Background Citations': '56', 'Methods Citations': '17', 'Results Citations': '12'}]"
Area Attention,['https://www.semanticscholar.org/paper/Area-Attention-Li-Kaiser/31b3b0a526683048f69e703d5f098aea0e8a0ce0'],"[{'Citations': 11, 'Highly Influential Citations': '4', 'Background Citations': '6', 'Methods Citations': '2', 'Results Citations': '3'}]"
The Conditional Entropy Bottleneck,['https://www.semanticscholar.org/paper/The-Conditional-Entropy-Bottleneck-Fischer/dcc2153afbbf2a21273d3ef02218805892a25e94'],"[{'Citations': 32, 'Highly Influential Citations': '10', 'Background Citations': '16', 'Methods Citations': '14'}]"
State-Denoised Recurrent Neural Networks,['https://www.semanticscholar.org/paper/State-Denoised-Recurrent-Neural-Networks-Mozer-Kazakov/52804fc146f23e4f44f6e68d1844ead7c299279e'],"[{'Citations': 4, 'Background Citations': '3'}]"
NETWORK COMPRESSION USING CORRELATION ANALYSIS OF LAYER RESPONSES,['https://www.semanticscholar.org/paper/NETWORK-COMPRESSION-USING-CORRELATION-ANALYSIS-OF-Suau-Zappella/6973c285be49be43a7c3d351ac2c25b66fa7de7a'],"[{'Citations': 15, 'Highly Influential Citations': '1', 'Background Citations': '6', 'Methods Citations': '3'}]"
LIT: Block-wise Intermediate Representation Training for Model Compression,['https://www.semanticscholar.org/paper/LIT%3A-Block-wise-Intermediate-Representation-for-Koratana-Kang/7e8685b5638e07c9756f57462dc864dc020c9cd5'],"[{'Citations': 11, 'Highly Influential Citations': '2', 'Background Citations': '5', 'Methods Citations': '4'}]"
Revisiting Reweighted Wake-Sleep,['https://www.semanticscholar.org/paper/Revisiting-Reweighted-Wake-Sleep-for-Models-with-Le-Kosiorek/1286958856c0a7d798f16e391899b8a708c475ab'],"[{'Citations': 22, 'Highly Influential Citations': '5', 'Background Citations': '10', 'Methods Citations': '12'}]"
Looking for ELMo's friends: Sentence-Level Pretraining Beyond Language Modeling,"[""https://www.semanticscholar.org/paper/Looking-for-ELMo's-friends%3A-Sentence-Level-Beyond-Bowman-Pavlick/256623ff025f36d343588bcd0b966c1fd26afcf8""]","[{'Citations': 25, 'Highly Influential Citations': '1', 'Background Citations': '5', 'Methods Citations': '3'}]"
Estimating Information Flow in DNNs,['https://www.semanticscholar.org/paper/Estimating-Information-Flow-in-DNNs-Goldfeld-Berg/47e53b7bf080361404b40da68cdc0f6d483332fc'],[{'Citations': 0}]
Approximation and non-parametric estimation of ResNet-type convolutional neural networks via block-sparse fully-connected neural networks,['https://www.semanticscholar.org/paper/Approximation-and-Non-parametric-Estimation-of-Oono-Suzuki/c91ff28130b5a7b8e9c723dcace742869dc7c32e'],"[{'Citations': 15, 'Highly Influential Citations': '1', 'Background Citations': '10', 'Methods Citations': '3', 'Results Citations': '1'}]"
Learning to Reinforcement Learn by Imitation,['https://www.semanticscholar.org/paper/Learning-to-Reinforcement-Learn-by-Imitation-Kralev-Mendonca/7bc7c27c29f21fab283955edb3a60f563e021323'],[{'Citations': 1}]
Adversarial Vulnerability of Neural Networks Increases with Input Dimension,['https://www.semanticscholar.org/paper/Adversarial-Vulnerability-of-Neural-Networks-With-Simon-Gabriel-Ollivier/57a1b24ae34abce49f319809009f65f1642fa16a'],"[{'Citations': 42, 'Highly Influential Citations': '4', 'Background Citations': '24', 'Methods Citations': '9', 'Results Citations': '2'}]"
CoT: Cooperative Training for Generative Modeling of Discrete Data,['https://www.semanticscholar.org/paper/CoT%3A-Cooperative-Training-for-Generative-Modeling-Lu-Yu/7efebd73c871990272aaca85a6a94e75801bd736'],"[{'Citations': 17, 'Highly Influential Citations': '1', 'Background Citations': '7', 'Methods Citations': '6', 'Results Citations': '1'}]"
Direct Optimization through $\arg \max$  for  Discrete Variational Auto-Encoder,['https://www.semanticscholar.org/paper/Direct-Optimization-through-arg-max-for-Discrete-Lorberbom-Gane/5f696bc235667b6d25d1e441a59a247930f1e60a'],"[{'Citations': 23, 'Highly Influential Citations': '3', 'Background Citations': '10', 'Methods Citations': '14', 'Results Citations': '1'}]"
Sinkhorn AutoEncoders,['https://www.semanticscholar.org/paper/Sinkhorn-AutoEncoders-Patrini-Carioni/527005f0a772c064d91fa7be4b0750f08bebd589'],"[{'Citations': 29, 'Highly Influential Citations': '3', 'Background Citations': '4', 'Methods Citations': '10', 'Results Citations': '1'}]"
Evaluating GANs via Duality,['https://www.semanticscholar.org/paper/Evaluating-GANs-via-Duality-Grnarova-Levy/0ba38dd8c9c09aaa80658c8cb95fc1f093e6204f'],"[{'Citations': 8, 'Background Citations': '5', 'Methods Citations': '2'}]"
Wasserstein proximal of GANs,['https://www.semanticscholar.org/paper/Wasserstein-Proximal-of-GANs-Lin-Li/ec83e08acb72d4e39bb903b0be58af014f79a72a'],"[{'Citations': 18, 'Background Citations': '8', 'Methods Citations': '3'}]"
On the Convergence and Robustness of Batch Normalization,['https://www.semanticscholar.org/paper/On-the-Convergence-and-Robustness-of-Batch-Cai-Li/b652b79e714db6dcee6b6e687762db71a6e2faa2'],"[{'Citations': 2, 'Background Citations': '1'}]"
Aligning Artificial Neural Networks to the Brain yields Shallow Recurrent Architectures,['https://www.semanticscholar.org/paper/Aligning-Artificial-Neural-Networks-to-the-Brain-Kubilius-Schrimpf/878f70f6abb83f5158ca0bacfc2bacd49b1886b1'],[{'Citations': 0}]
