year,institution,csranking,ranking
2019,"KTH Royal Institute of Technology, Stockholm, Sweden",207,173
2019,Harmdevries,-1,-1
2019,126,-1,-1
2019,"Instituto de Telecomunicações, Portugal",-1,-1
2019,BenevolentAI,-1,-1
2019,Humboldt Universität Berlin,-1,-1
2019,University of Seoul,-1,798
2019,The University of Melbourne,77,32
2019,Xiamen University,-1,490
2019,General Electric,-1,-1
2019,Duke University,47,17
2019,Chalmers University,-1,240
2019,Borealis AI,-1,-1
2019,Center,94,491
2019,Academia Sinica,-1,-1
2019,University of Florida,136,143
2019,University of Siena,169,501
2019,Sharif University of Technology,285,603
2019,Adobe Systems,-1,-1
2019,IDSIA,-1,-1
2019,University of Campinas,-1,441
2019,Delft University of Technology,-1,63
2019,Uber,-1,-1
2019,Indian Institute of Technology Delhi,-1,529
2019,McGill University,94,42
2019,Karl-Franzens University Graz,-1,-1
2019,SAP,285,300
2019,International Institute of Information Technology Hyderabad,-1,-1
2019,RWTH Aachen University,136,79
2019,Technicolor,-1,-1
2019,Blacksesame,-1,-1
2019,French National Center for Scientific Research,-1,-1
2019,Rice University,94,86
2019,Michigan State University,116,84
2019,Perimeter Institute,-1,-1
2019,Swiss Federal Institute of Technology,-1,-1
2019,University of Porto,-1,501
2019,Massachusetts Institute of Technology,6,5
2019,Oath,-1,-1
2019,University of Alberta,94,119
2019,Icloud,-1,-1
2019,TuSimple,-1,-1
2019,The Chinese University of Hong Kong,285,40
2019,"University of Nebraska, Lincoln",207,337
2019,Skolkovo Institute of Science and Technology,-1,-1
2019,Ecole Normale Superieure,116,-1
2019,Università della Svizzera Italiana,169,-1
2019,Yandex,-1,-1
2019,Safran,-1,-1
2019,Baylor University,-1,642
2019,"Institue for Advanced Study, Princeton",-1,-1
2019,Florida Institute of Technology,419,750
2019,NAVER,-1,-1
2019,Criteo,-1,-1
2019,Purdue University,24,60
2019,Moscow Institute of Physics and Technology,-1,254
2019,"University of California, San Diego",-1,31
2019,Xidian University,-1,917
2019,"Ricoh software limited, Beijing",-1,-1
2019,Institute for Infocomm Research,-1,-1
2019,TU Dresden,169,155
2019,Alipay,-1,-1
2019,Institut de Recherche et Coordination Acoustique/Musique,-1,-1
2019,University of Rochester,94,153
2019,Bucknell University,-1,-1
2019,the Chinese University of Hong Kong,47,40
2019,Singapore University of Technology and Design,-1,-1
2019,Aliyun,-1,-1
2019,CNRS,-1,-1
2019,Texas A&M,50,160
2019,Alan Turing Institute,-1,-1
2019,"University of Arkansas, Little Rock",285,585
2019,Jagiellonian University,-1,695
2019,DRIMCo GmbH,-1,-1
2019,Toronto University,-1,-1
2019,Indian Institute of Science,-1,273
2019,Fuxi AI Lab in Netease,-1,-1
2019,Ruhr-Universtät Bochum,-1,-1
2019,Naver Labs Europe,-1,-1
2019,University of Liverpool,116,177
2019,UCL,285,16
2019,"University of Colorado, Boulder",59,100
2019,Hasso Plattner Institute,136,-1
2019,"University of Colorado, Denver",419,286
2019,Kyoto University,136,74
2019,Karlsruhe Institute of Technology,169,133
2019,Naver,-1,-1
2019,University of Oregon,207,267
2019,"University of Maryland, College Park",12,69
2019,Beijing University of Post and Telecommunication,-1,-1
2019,SUN YAT-SEN UNIVERSITY,-1,352
2019,Aix Marseille Université,-1,297
2019,University of Michigan,9,21
2019,University of Stuttgart,116,219
2019,University of Utah,67,200
2019,National University of Singapore,18,22
2019,Rutgers University,31,-1
2019,Ardigen,-1,-1
2019,Instagram,-1,-1
2019,University of Chicago,50,9
2019,ADSC,-1,-1
2019,"University of Nebraska, Kearney",207,-1
2019,Ben Gurion University of the Negev,169,627
2019,University of Lincoln,-1,757
2019,AITRICS,-1,-1
2019,Inception Institute of Artificial Intelligence,-1,-1
2019,covariant.ai,-1,-1
2019,STATS,-1,-1
2019,LIP6,419,-1
2019,TU Berlin,136,-1
2019,"WeBank Co., Ltd.",-1,-1
2019,The City University of New York,-1,-1
2019,University of Nottingham,207,146
2019,CEA,207,811
2019,"Computer Vision Center, Universitat Autònoma de Barcelona",-1,-1
2019,Colorado State University,419,356
2019,Czech Technical University in Prague,169,740
2019,Wormpex AI Research,-1,-1
2019,Universidad de Chile,285,-1
2019,Université de Lille,-1,-1
2019,JD AI Research,-1,-1
2019,"Indiana University, Bloomington",67,117
2019,KAIST,17,95
2019,University of Applied Sciences Fulda,-1,-1
2019,"Department of Computer Science, University of Toronto",18,22
2019,Baylor College of Medicine,-1,-1
2019,Università degli Studi di Genova,-1,-1
2019,Universitat Pompeu Fabra,-1,-1
2019,"State University of New York, Buffalo",-1,-1
2019,Xi'an Jiaotong University,-1,565
2019,ByteDance,-1,-1
2019,"University of North Carolina, Chapel Hill",67,-1
2019,Sea Group,-1,-1
2019,insitro,-1,-1
2019,Twenty Billion Neurons,-1,-1
2019,Heriot-Watt University,207,363
2019,The University of Adelaide,94,134
2019,University of Bern,285,105
2019,Amazon,-1,-1
2019,Univeristé Paris-Dauphine,-1,-1
2019,CentraleSupelec,-1,452
2019,Dalhousie University,285,289
2019,"Trinity College, Dublin",-1,117
2019,"State University of New York, Stony Brook",-1,-1
2019,The University of Hong Kong,94,40
2019,"University of Washington, Seattle",10,25
2019,The university of Warwick,-1,90
2019,Weizmann Institute,116,-1
2019,Swisscom,-1,-1
2019,Capital One Bank,-1,-1
2019,Waseda University,285,642
2019,NTT,207,-1
2019,University of Macau,-1,399
2019,Aix Marseille Univ,-1,-1
2019,Australian National University,116,48
2019,Tencent AI Lab,-1,-1
2019,Istituto Italiano di Tecnologia,-1,-1
2019,Graz University of Technology,116,443
2019,HHMI Janelia Research Campus,-1,-1
2019,UiT The Arctic University of Norway,-1,467
2019,Northeastern University,15,839
2019,East China Normal University,-1,562
2019,Fraunhofer IIS,-1,-1
2019,Institute for Cognitive Neuroscience/ Inst. for Neuroinformatics,-1,-1
2019,University of California Berkeley,-1,18
2019,Asml,-1,-1
2019,Malong Technologies,-1,-1
2019,Roboti LLC,-1,-1
2019,"IRIT, CNRS",-1,-1
2019,College of William and Mary,207,-1
2019,Saarland University,86,-1
2019,Simon Fraser University,50,253
2019,Goethe University,285,293
2019,"Technion, Technion",27,-1
2019,Netatmo,-1,-1
2019,Gmu,-1,-1
2019,"Tsinghua University, Tsinghua University",4,30
2019,The University of Tsukuba,94,468
2019,University of Sydney,67,61
2019,University of Southern California,27,66
2019,Renaissance School of Medicine at Stony Brook University,36,258
2019,University of Notre Dame,116,150
2019,Antfin,-1,-1
2019,NNAISENSE,-1,-1
2019,"Washington University, St. Louis",-1,-1
2019,Singapore Management University,77,-1
2019,Latent Logic,-1,-1
2019,Beihang University,94,658
2019,DataGrid Inc.,-1,-1
2019,OpenAI,-1,-1
2019,"University of Newcastle, Australia",285,291
2019,Institut national de la recherche scientifique,-1,-1
2019,Aalto University,116,190
2019,Calculationconsulting,-1,-1
2019,"HRL Laboratories, LLC",-1,-1
2019,IMT Atlantique,-1,-1
2019,Bosch,-1,367
2019,University of British Columbia,59,34
2019,Bielefeld University,285,288
2019,Worcester Polytechnic Institute,169,-1
2019,National Institute of Informatics,-1,-1
2019,Beijing Institute of Technology,-1,688
2019,Mircosoft,-1,-1
2019,UPSud/INRIA University Paris-Saclay,-1,-1
2019,Universidad Politecnica de Valencia,-1,-1
2019,Harbin Institute of Technology,136,522
2019,Toyota Research Institute,-1,-1
2019,Monash University,94,80
2019,Auburn University,419,652
2019,Technical University Munich,-1,-1
2019,German Research Center for AI,-1,-1
2019,Università di Firenze,-1,-1
2019,Ecole Centrale Paris,-1,-1
2019,University of Copenhagen,86,109
2019,Allen Institute for Artificial Intelligence,-1,-1
2019,Aerial Technologies Inc.,-1,-1
2019,Kakao Brain,-1,-1
2019,Nagoya Institute of Technology,-1,880
2019,Télécom ParisTech,-1,-1
2019,"Bielefeld University, CITEC",285,288
2019,The Hong Kong University of Science and Technology,-1,44
2019,Indian Institute of Technology Madras,-1,625
2019,University of Toronto,18,22
2019,The Hong Kong Polytechnic University,136,182
2019,Beijing Jiaotong University,-1,854
2019,Brandeis University,207,223
2019,Toyota Technological Institute at Chicago,-1,-1
2019,Toyota Motor Europe,-1,-1
2019,University of Bonn,136,100
2019,Brown University,86,50
2019,Magic Leap,-1,-1
2019,"University of California, Irvine",-1,99
2019,Higher School of Economics,-1,-1
2019,Mails.tsinghua,-1,-1
2019,"University of Texas, Dallas",-1,-1
2019,ETIS,-1,-1
2019,"National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology",-1,-1
2019,Ohio State University,59,70
2019,UC Santa Barbara,-1,-1
2019,Megvii Technology Inc.,-1,-1
2019,Fortiss,-1,-1
2019,"Centre for Integrative Neuroscience, AG Bethge",-1,-1
2019,University of Arizona,207,161
2019,Princeton University,31,7
2019,Satrec Initiative co. Itd,-1,-1
2019,Federal University of Rio de Janeiro - UFRJ,419,715
2019,Kunumi,-1,-1
2019,Apple,-1,-1
2019,Rochester Institute of Technology,136,666
2019,University of Science and Technology of China,-1,132
2019,University of Auckland,285,191
2019,Meiji University,-1,978
2019,Hong Kong University of Science and Technology,-1,44
2019,Medical University of Vienna,169,257
2019,Iowa State University,207,341
2019,NEC,-1,324
2019,Sartorius-stedim,-1,-1
2019,International Business Machines,-1,-1
2019,University of Edinburgh,36,27
2019,Pennsylvania State University,44,-1
2019,University of the Witwatersrand,-1,293
2019,Deep Genomics,-1,-1
2019,University of Southampton,207,126
2019,University of Lisbon,-1,509
2019,Layer 6 AI,-1,-1
2019,University of Amsterdam,136,59
2019,Autodesk,-1,-1
2019,Bell Labs,-1,-1
2019,Tecent Inc.,-1,-1
2019,University of Bristol,94,76
2019,Bar Ilan University,94,456
2019,"Preferred Networks, Inc.",-1,-1
2019,Gmai,-1,-1
2019,Vector Institute,-1,-1
2019,Uppsala University,169,86
2019,University of Guelph,285,-1
2019,"University of Texas, Austin",-1,-1
2019,National Tsing Hua University,207,323
2019,RIKEN,-1,-1
2019,University of Oxford,44,1
2019,Santa Fe Institute,-1,-1
2019,LINE,-1,382
2019,"University of Massachusetts, Lowell",207,191
2019,University of Pennsylvania,21,10
2019,University of Vienna,169,164
2019,Common Sense Machines,-1,-1
2019,The Education University of Hong Kong,94,40
2019,Zalando SE,-1,-1
2019,Snap Inc.,-1,-1
2019,Carnegie Mellon University,1,24
2019,Universidad Autónoma de Madrid,-1,-1
2019,Horizon Robotics,-1,-1
2019,Xi'an Jiaotong-Liverpool University,-1,-1
2019,Yale University,67,12
2019,Zhejiang University,36,177
2019,Handong Global University,-1,-1
2019,DeepMind,-1,-1
2019,University of Washington,10,25
2019,SI Analytics,-1,-1
2019,ENSTA ParisTech,-1,-1
2019,Tel Aviv University,31,217
2019,University of Exeter,419,130
2019,Deakin University,-1,334
2019,South China University of Technology,-1,576
2019,"Institute for Infocomm Research, A*STAR",-1,-1
2019,Steklov Institute of Mathematics at St. Petersburg,-1,-1
2019,Yokohama National University,-1,827
2019,Universidade Federal de Minas Gerais,-1,-1
2019,IDKT-RDI QF,-1,-1
2019,HEC Montreal,-1,-1
2019,Ulm University,-1,155
2019,VMware Research,-1,-1
2019,Cyprus University of Technology,285,354
2019,KAUST,94,-1
2019,Yonsei University,169,231
2019,"Disney Research, Disney",-1,-1
2019,Graphcore,-1,-1
2019,ENSICAEN,-1,-1
2019,Pinterest,-1,-1
2019,"University of Illinois, Urbana Champaign",-1,-1
2019,Ecole polytechnique,-1,115
2019,The University of Tokyo,59,45
2019,Hebrew University of Jerusalem,77,205
2019,University of Hamburg,207,207
2019,Tennessee Technological University,-1,-1
2019,Amirkabir University of Technology,-1,613
2019,Shandong University,136,569
2019,"Faculdade de Ciências, Universidade de Lisboa, Portugal",116,-1
2019,Allstate,-1,-1
2019,University of Glasgow,207,80
2019,University of Zurich,136,136
2019,Siemens Healthineers,-1,-1
2019,Indian Institute of Technology Kharagpur,-1,506
2019,Universität Bremen,-1,-1
2019,Vanderbilt University,285,105
2019,"Ecole Polytechnique, France",-1,-1
2019,Element AI,-1,-1
2019,"University of California, Davis",-1,54
2019,Electronics and Telecommunicatios Research Institute,-1,-1
2019,Waymo,-1,-1
2019,INESC-ID,-1,-1
2019,Facultad de Ingeniería,-1,-1
2019,"Computer Science Lab  - Pierre and Marie Curie University, Paris, France",-1,123
2019,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences",31,-1
2019,George Mason University,94,336
2019,"Institute of Computing Technology, Chinese Academy of Sciences",31,-1
2019,University College London,50,-1
2019,University of New Hampshire,207,-1
2019,Alibaba Group,-1,-1
2019,Peking University,14,27
2019,Helm.ai,-1,-1
2019,Indian Institute of Technology Bombay,-1,367
2019,SK Telecom,-1,-1
2019,University of Cambridge,77,2
2019,Inst. of Information Systems / Machine Learning,-1,-1
2019,Habana Labs (Intel),-1,-1
2019,University of California at Merced,-1,-1
2019,Petuum Inc.,-1,-1
2019,Electric-thought,-1,-1
2019,Northwestern University,50,20
2019,Roysonlee,-1,-1
2019,Indiana University,67,117
2019,Poznan University of Technology,-1,-1
2019,Lateral GmbH,-1,-1
2019,University of Virginia,59,113
2019,"University of Massachusetts, Amherst",27,191
2019,Fred Hutchinson Cancer Research Center,-1,-1
2019,University of Tuebingen,136,94
2019,Fudan University,67,116
2019,Neatware,-1,-1
2019,"CNRS, Université Paris-Saclay",-1,-1
2019,Kyung Hee,419,407
2019,University of Luebeck,285,-1
2019,Mitsubishi Electric Research Labs,-1,-1
2019,KU Leuven,136,47
2019,Seoul National University,36,74
2019,Johns Hopkins University,67,13
2019,Chinese Academy of Sciences,31,-1
2019,University of Wyoming,285,-1
2019,Osaka University,136,236
2019,Universität Freiburg,-1,-1
2019,ETAS GmbH,-1,-1
2019,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",31,-1
2019,Ecole Normale Superieure de Rennes,419,-1
2019,Advanced Digital Sciences Center,-1,-1
2019,"University of Hawaii, Manoa",-1,-1
2019,Friedrich-Alexander Universität Erlangen-Nürnberg,-1,-1
2019,"City, University of London",285,373
2019,Thalesgroup,-1,-1
2019,AIST,17,95
2019,Target,-1,-1
2019,Ivalua Inc,-1,-1
2019,The University of Waikato,285,393
2019,Ecole Superieur d'Ingenieurs Leonard de Vinci,-1,-1
2019,Google,-1,-1
2019,Flatiron Institute,-1,-1
2019,Innopeak Technology,-1,-1
2019,Asidatascience,-1,-1
2019,Korea University,169,244
2019,University of Central Florida,77,-1
2019,Rensselaer Polytechnic Institute,207,304
2019,University of Montreal,116,108
2019,Prowler.io,-1,-1
2019,SenseTime Group Limited,-1,-1
2019,SalesForce.com,-1,-1
2019,National Institutes of Health,-1,-1
2019,Medical College of Wisconsin,-1,-1
2019,Emory University,207,98
2019,Clarkson University,-1,-1
2019,"Faculty of Electrical Engineering and Computing, University of Zagreb",-1,894
2019,Protonmail,-1,-1
2019,Polytechnique Montreal,285,-1
2019,California Institute of Technology,136,3
2019,Colorado School of Mines,207,268
2020,CISPA Helmholtz-Zentrum für Informationssicherheit,-1,-1
2020,Argo AI,-1,-1
2020,Keio University,248,692
2020,Korea Advanced Institute of Science and Technology,-1,110
2020,University of Trento,143,307
2020,University of Lorraine,-1,624
2020,Shanghai Jiao Tong University,30,157
2020,Queen Mary University London,-1,-1
2020,University of Chinese Academy of Sciences,30,-1
2020,D-Wave Systems,-1,-1
2020,Nanyang Technological University,43,49
2020,University of Electronic Science and Technology of China,-1,628
2020,University Paris Descartes,-1,-1
2020,Imperial College London,52,10
2020,Georgia Institute of Technology,13,38
2020,Baidu,-1,-1
2020,Boston University,79,61
2020,University of Queensland,248,66
2020,Universidade da Coruña,-1,-1
2020,Oregon State University,79,373
2020,IQVIA,-1,-1
2020,Kakao,-1,-1
2020,POSTECH,118,146
2020,Harvard University,52,7
2020,Facebook AI Research,-1,-1
2020,Université Paris Diderot,-1,-1
2020,Kyung Hee University,445,319
2020,Synapse-fr,-1,-1
2020,NORCE the Norwegian Research Center,-1,-1
2020,Stanford University,5,4
2020,Cornell University,7,19
2020,Butterfly Network Inc,-1,-1
2020,Institut für Informatik,-1,-1
2020,Lawrence Berkeley National Lab,-1,-1
2020,"University of Illinois, Chicago",-1,-1
2020,SoftServe Inc.,-1,-1
2020,Curai,-1,-1
2020,ZIB,-1,-1
2020,Loughborough University,445,374
2020,"University of California, Los Angeles",-1,17
2020,Sapienza University of Rome,102,258
2020,Heidelberg University,194,44
2020,International Computer Science Institute,-1,-1
2020,Mila,143,336
2020,Siemens Corporate Research,-1,-1
2020,NEC-Labs,-1,-1
2020,Hanyang University,194,393
2020,Central Institute of Mental Health,-1,-1
2020,163,-1,-1
2020,University of Technology Sydney,73,193
2020,University of Delaware,194,295
2020,West Virginia University,316,601
2020,Ajou University,-1,852
2020,University of St Gallen,-1,435
2020,Swiss Federal Institute of Technology Lausanne,-1,-1
2020,Indian Institute of Technology Tirupati,-1,-1
2020,CSIRO,-1,-1
2020,Valeo,-1,-1
2020,Universita' degli studi di Padova,-1,-1
2020,"Navinfo Europe, The Netherlands",-1,-1
2020,"Qualcomm Inc, QualComm",-1,-1
2020,General Motors,-1,-1
2020,Bloomberg LP,-1,-1
2020,University of Otago,445,218
2020,Tcl,-1,15
2020,University of Applied Sciences Western Switzerland,-1,-1
2020,Facebook,-1,-1
2020,"University of North Carolina, Charlotte",64,-1
2020,Johannes Kepler University Linz,-1,-1
2020,A*STAR,-1,-1
2020,Srilanka Institute of information Technology,-1,-1
2020,Imagia,-1,-1
2020,Stevens Institute of Technology,143,605
2020,Max Planck Institute MIS,-1,-1
2020,TU Wien Vienna University of Technology,102,360
2020,"University of Minnesota, Minneapolis",73,79
2020,University of Potsdam,445,272
2020,Chennai Mathematical Institute,-1,-1
2020,University of Calgary,248,210
2020,Foxmail,-1,-1
2020,INRIA,-1,-1
2020,Max-Planck Institute,-1,-1
2020,TU Kaiserslautern,194,-1
2020,Boeing Korea Engineering and Technology Center,-1,-1
2020,New York University,22,29
2020,"University of California, Riverside",-1,249
2020,Ludwig-Maximilians-Universität München,-1,-1
2020,Defence Science and Technology Group,-1,-1
2020,Bar-Ilan University,102,513
2020,Army Reserach laboratory,-1,-1
2020,Sony Corporation,-1,-1
2020,Lehigh University,248,633
2020,Lunit Inc.,-1,-1
2020,Stats Perform,-1,-1
2020,Intel,-1,-1
2020,Guangdong Provincal People's Hospital,-1,-1
2020,Nanjing University of Aeronautics and Astronautics,52,1024
2020,Ryerson University,316,739
2020,"University of Texas, Arlington",-1,-1
2020,NVIDIA,-1,-1
2020,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",-1,-1
2020,University of Iowa,168,227
2020,Laval university,-1,272
2020,USC/ISI,-1,-1
2020,Dartmouth College,168,94
2020,TU Darmstadt,59,-1
2020,IT University of Copenhagen,168,101
2020,University of Victoria,194,449
2020,National University of Defense Technology,-1,-1
2020,Lawrence Livermore National Labs,-1,-1
2020,CISPA Helmholtz Center for Information Security,92,-1
2020,Syracuse University,194,292
2020,Columbia University,24,16
2020,Lancaster University,248,140
2020,Institut Supérieur de l'Aéronautique et de l'Espace,-1,-1
2020,Freelance,-1,-1
2020,Clinc,-1,-1
2020,Kyushu University,-1,460
2020,Eindhoven University of Technology,-1,185
2020,Samsung,-1,-1
2020,"Indian Statistical Institute, Kolkata",-1,-1
2020,UQAM,-1,-1
2020,Microsoft,-1,-1
2020,University of Mannheim,248,157
2020,Ronin Institute,-1,-1
2020,Visa Research,-1,-1
2020,"Machine Learning Research Lab, Volkswagen Group",-1,-1
2020,"The Chinese University of Hong Kong, Shenzhen",46,35
2020,University of Stirling,-1,350
2020,LinkedIn,-1,-1
2020,OMRON SINIC X,-1,-1
2020,Icentia Inc.,-1,-1
2020,Spanish National Research Council,-1,-1
2020,Universidade Federal de Mato Grosso,-1,-1
2020,University of Waterloo,30,235
2020,Virginia Tech,64,-1
2020,Huawei Technologies Ltd.,-1,-1
2020,Chonbuk National University,-1,965
2020,Boston College,248,323
2020,SRI International,-1,-1
2020,causaLens,-1,-1
2020,"The Institute of Statistical Mathematics, Japan",-1,-1
2020,University of Western Ontario,-1,-1
2020,"University of Illinois, Urbana-Champaign",-1,-1
2020,"KTH Royal Institute of Technology, Stockholm, Sweden",194,222
2020,126,-1,-1
2020,Ericsson,-1,-1
2020,TAL Education Group,-1,-1
2020,TU Dortmund,248,354
2020,Humboldt Universität Berlin,-1,-1
2020,The University of Melbourne,85,32
2020,RISE Research Institutes of Sweden,-1,-1
2020,Institute of Science and Technology Austria,-1,-1
2020,Xiamen University,-1,579
2020,Mines ParisTech,-1,-1
2020,Duke University,46,20
2020,Centrum voor Wiskunde en Informatica,-1,-1
2020,Borealis AI,-1,-1
2020,Lyft Inc.,-1,-1
2020,Agara,-1,-1
2020,RealAI,-1,-1
2020,Academia Sinica,-1,-1
2020,Bocconi University,316,-1
2020,University of Florida,168,174
2020,Sharif University of Technology,316,564
2020,National Chiao Tung University,118,564
2020,Insight Centre for Data Analytics,-1,-1
2020,SISSA,-1,-1
2020,Bilkent University,316,548
2020,Fondazione Bruno Kessler,-1,-1
2020,Adobe Systems,-1,-1
2020,IDSIA,-1,-1
2020,"College of Engineering, Pune",-1,-1
2020,University of Manchester,248,55
2020,Delft University of Technology,-1,67
2020,Uber,-1,-1
2020,DGIST,15,-1
2020,"University of Missouri, Columbia",316,424
2020,University of St Andrews,316,201
2020,Tufts University,194,139
2020,"Mila, UdeM",-1,-1
2020,Indian Institute of Technology Delhi,-1,441
2020,AXA,-1,-1
2020,McGill University,102,42
2020,Michigan Technological University,316,-1
2020,SAP,316,258
2020,FiveAI,-1,-1
2020,International Institute of Information Technology Hyderabad,-1,-1
2020,RWTH Aachen University,118,98
2020,Pixel Scientia Labs,-1,-1
2020,Dbmail,-1,-1
2020,Mozilla,-1,-1
2020,Pfizer R&D,-1,-1
2020,French National Center for Scientific Research,-1,-1
2020,mosaix.ai,-1,-1
2020,University Health Network,-1,-1
2020,Rice University,92,105
2020,Michigan State University,102,84
2020,Perimeter Institute,-1,-1
2020,Swiss Federal Institute of Technology,-1,-1
2020,University of Szeged,445,874
2020,AnotherBrain,-1,-1
2020,Birmingham University,-1,-1
2020,Shannon.AI,-1,-1
2020,Massachusetts Institute of Technology,5,5
2020,ITMO University,-1,480
2020,Université Paris Dauphine,-1,-1
2020,Nttdata,-1,-1
2020,Spotify,-1,-1
2020,LaBRI,-1,646
2020,University of Alberta,102,136
2020,Radboud University Medical Center,248,-1
2020,University of Bordeaux,-1,430
2020,Icloud,-1,-1
2020,The Chinese University of Hong Kong,316,35
2020,Unbabel,-1,-1
2020,Skolkovo Institute of Science and Technology,-1,-1
2020,Ecole Normale Superieure,118,-1
2020,Universidad Rey Juan Carlos,316,-1
2020,Yandex,-1,-1
2020,Università della Svizzera Italiana,194,341
2020,Safran,-1,-1
2020,"Institue for Advanced Study, Princeton",-1,-1
2020,NAVER,-1,-1
2020,DMAI Inc.,-1,-1
2020,Criteo,-1,-1
2020,Purdue University,24,88
2020,Moscow Institute of Physics and Technology,-1,234
2020,"University of California, San Diego",-1,31
2020,Xidian University,-1,919
2020,Riverasaul,-1,-1
2020,Hikvision Research Institute,-1,-1
2020,Didi Chuxing,-1,-1
2020,Walmart Labs,-1,-1
2020,Brookhaven National Laboratory,-1,-1
2020,University of Rochester,102,173
2020,Singapore University of Technology and Design,-1,-1
2020,"University of Nevada, Reno",248,-1
2020,D. E. Shaw & Co.,-1,-1
2020,Texas A&M,46,177
2020,Alan Turing Institute,-1,-1
2020,Lineagelogistics,-1,-1
2020,Jagiellonian University,-1,610
2020,Agency for Defense Development,-1,-1
2020,DRIMCo GmbH,-1,-1
2020,Toronto University,-1,-1
2020,Jozef Stefan institute,-1,-1
2020,Indian Institute of Science,-1,301
2020,Nankai University,-1,366
2020,University of Kentucky,194,490
2020,BARO AI Academy,-1,-1
2020,University of California-Los Angeles,-1,17
2020,Université Côte d'Azur,-1,-1
2020,Fuxi AI Lab in Netease,-1,-1
2020,Telefonica Research,-1,-1
2020,LAAS / CNRS,-1,-1
2020,Ruhr-Universtät Bochum,-1,-1
2020,Bogazici University,316,672
2020,Naver Labs Europe,-1,-1
2020,Zjuici,-1,-1
2020,University of Liverpool,118,165
2020,"University of Colorado, Boulder",59,123
2020,Hasso Plattner Institute,143,-1
2020,Niantic Inc.,-1,-1
2020,Fujitsu Laboratories Ltd.,-1,-1
2020,Kyoto University,168,65
2020,Karlsruhe Institute of Technology,168,174
2020,Freie Universität Berlin,316,-1
2020,Wuhan University,194,354
2020,University of Oregon,194,288
2020,"University of Maryland, College Park",12,91
2020,Sivantos,-1,-1
2020,Beijing University of Post and Telecommunication,-1,-1
2020,SUN YAT-SEN UNIVERSITY,-1,299
2020,ESTsoft,-1,-1
2020,University of Michigan,7,21
2020,University of Stuttgart,118,292
2020,University of Utah,64,219
2020,Cold Spring Harbor Laboratory,-1,-1
2020,National University of Singapore,17,25
2020,Rutgers University,30,-1
2020,Oculus,-1,-1
2020,University of Twente,143,247
2020,University of Chicago,51,9
2020,Instagram,-1,-1
2020,Swinburne University of Technology,-1,389
2020,University of New South Wales,-1,-1
2020,AITRICS,-1,-1
2020,"Interdisciplinary Centre for Security, Reliability and Trust (SnT)",-1,-1
2020,"Lynxi technologies Co., Ltd.",-1,-1
2020,Center for Long-Term Risk,-1,-1
2020,University of Essex,248,272
2020,LIP6,445,-1
2020,Central Methodist College,-1,-1
2020,TU Berlin,118,-1
2020,National Technical University of Athens,316,776
2020,"WeBank Co., Ltd.",-1,-1
2020,The City University of New York,-1,-1
2020,Addis Ababa University,-1,-1
2020,IRISA,-1,-1
2020,Luleå University of Technology,-1,-1
2020,University of Nottingham,194,152
2020,CEA,194,1027
2020,"Computer Vision Center, Universitat Autònoma de Barcelona",-1,-1
2020,Icentia,-1,-1
2020,University of Surrey,168,260
2020,VinAI Research,-1,-1
2020,Czech Technical University in Prague,168,956
2020,Universidad de Chile,316,-1
2020,JD AI Research,-1,-1
2020,"Indiana University, Bloomington",64,134
2020,KAIST,15,110
2020,University of Applied Sciences Fulda,-1,-1
2020,Universiti Teknologi Malaysia,-1,674
2020,University of Siegen,316,570
2020,Walmart,-1,-1
2020,"Department of Computer Science, University of Toronto",18,18
2020,Baylor College of Medicine,-1,-1
2020,Universitat Pompeu Fabra,-1,-1
2020,"State University of New York, Buffalo",-1,-1
2020,Xi'an Jiaotong University,-1,555
2020,Ghtinc,-1,-1
2020,ByteDance,-1,-1
2020,"University of North Carolina, Chapel Hill",64,-1
2020,"CNRS, Institut Mathematiques de Jussieu, Paris Diderot University",-1,-1
2020,The University of Adelaide,102,120
2020,University of Bern,316,113
2020,Amazon,-1,-1
2020,CentraleSupelec,-1,534
2020,George Washington University,194,198
2020,Univeristé Paris-Dauphine,-1,-1
2020,Dalhousie University,316,269
2020,"Trinity College, Dublin",-1,164
2020,"State University of New York, Stony Brook",-1,-1
2020,Nanjing University of Science and Technology,52,144
2020,The University of Hong Kong,92,35
2020,Franklin & Marshall College,-1,-1
2020,"University of Washington, Seattle",11,26
2020,Weizmann Institute,118,-1
2020,Idiap Research Institute,-1,-1
2020,Shenshangtech,-1,-1
2020,Télécom Paris,-1,187
2020,Swisscom,-1,-1
2020,Waseda University,316,790
2020,Capital One Bank,-1,-1
2020,University of Macau,-1,307
2020,Aix Marseille Univ,-1,-1
2020,Tencent AI Lab,-1,-1
2020,Australian National University,102,50
2020,Istituto Italiano di Tecnologia,-1,-1
2020,Graz University of Technology,118,542
2020,UiT The Arctic University of Norway,-1,419
2020,Northeastern University,16,906
2020,East China Normal University,-1,544
2020,Fraunhofer IIS,-1,-1
2020,University of Nairobi,-1,871
2020,Universidad Nacional de Colombia,-1,-1
2020,University of California Berkeley,-1,13
2020,Malong Technologies,-1,-1
2020,"IRIT, CNRS",-1,-1
